Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.832,4.14474933,,,
00.834,4.245624441,,,
00.836,4.000642027,,,
00.838,3.957409836,,,
00.840,3.58273085,,,
00.842,3.395391357,,,
00.844,2.97748018,,,
00.846,3.265694785,,,
00.848,3.56832012,,,
00.850,3.914177646,,,
00.852,4.18798152,,,
00.854,4.274445902,,,
00.856,4.317678093,,,
00.858,4.14474933,,,
00.860,3.640373771,,,
00.862,3.380980627,,,
00.864,3.063944561,,,
00.866,3.481855738,,,
00.868,3.366569896,,,
00.870,3.870945455,,,
00.872,4.087106409,,,
00.874,4.087106409,,,
00.876,4.14474933,,,
00.878,4.130338599,,,
00.880,3.453034278,,,
00.882,2.775729956,,,
00.884,2.660444114,,,
00.886,2.99189091,,,
00.888,3.035123101,,,
00.890,3.337748436,,,
00.892,3.56832012,,,
00.894,3.712427422,,,
00.896,3.294516245,,,
00.898,3.510677199,,,
00.900,2.732497766,,,
00.902,2.530747542,,,
00.904,2.790140687,,,
00.906,2.4154617,,,
00.908,2.4154617,,,
00.910,2.963069449,,,
00.912,2.919837259,,,
00.914,3.193641133,,,
00.916,3.179230403,,,
00.918,2.963069449,,,
00.920,2.473104621,,,
00.922,1.983139793,,,
00.924,1.925496872,,,
00.926,1.968729062,,,
00.928,2.271354398,,,
00.930,2.559569003,,,
00.932,2.746908496,,,
00.934,3.294516245,,,
00.936,3.078355291,,,
00.938,2.99189091,,,
00.940,2.458693891,,,
00.942,2.300175858,,,
00.944,1.853443221,,,
00.946,1.983139793,,,
00.948,2.242532937,,,
00.950,2.631622654,,,
00.952,2.674854845,,,
00.954,2.876605068,,,
00.956,2.876605068,,,
00.958,2.473104621,,,
00.960,2.040782714,,,
00.962,1.997550523,,,
00.964,2.285765128,,,
00.966,2.156068556,,,
00.968,2.314586588,,,
00.970,2.732497766,,,
00.972,2.891015798,,,
00.974,2.862194338,,,
00.976,2.559569003,,,
00.978,2.689265575,,,
00.980,2.285765128,,,
00.982,1.911086142,,,
00.984,1.968729062,,,
00.986,1.911086142,,,
00.988,2.38664024,,,
00.990,2.646033384,,,
00.992,2.804551417,,,
00.994,3.049533831,,,
00.996,2.732497766,,,
00.998,2.545158272,,,
01.000,2.127247095,,,
01.002,2.170479286,,,
01.004,1.997550523,,,
01.006,1.867853951,,,
01.008,2.328997319,,,
01.010,2.948658719,,,
01.012,3.150408943,,,
01.014,3.121587482,,,
01.016,2.891015798,,,
01.018,2.545158272,,,
01.020,2.141657825,,,
01.022,1.666103727,,,
01.024,1.766978839,,,
01.026,2.026371983,,,
01.028,2.285765128,,,
01.030,2.804551417,,,
01.032,3.265694785,,,
01.034,3.208051864,,,
01.036,3.121587482,,,
01.038,2.674854845,,,
01.040,2.617211924,,,
01.042,1.997550523,,,
01.044,1.925496872,,,
01.046,2.084014904,,,
01.048,2.703676305,,,
01.050,2.746908496,,,
01.052,2.746908496,,,
01.054,2.934247989,,,
01.056,2.501926082,,,
01.058,2.573979733,,,
01.060,2.473104621,,,
01.062,2.069604174,,,
01.064,1.954318332,,,
01.066,2.026371983,,,
01.068,2.473104621,,,
01.070,2.761319226,,,
01.072,2.99189091,,,
01.074,2.876605068,,,
01.076,2.746908496,,,
01.078,2.458693891,,,
01.080,2.242532937,,,
01.082,2.098425635,,,
