Time (s),Signal (V),Peak Time (s),Sample #,Type
00.752,2.448304567,,,
00.754,2.549052178,,,
00.756,2.518052913,,,
00.758,2.432804934,,,
00.760,2.301058057,,,
00.762,2.239059527,,,
00.764,2.215810078,,,
00.766,2.262308976,,,
00.768,2.246809344,,,
00.770,2.370806404,,,
00.772,2.580051443,,,
00.774,2.626550341,,,
00.776,2.518052913,,,
00.778,2.479303832,,,
00.780,2.479303832,,,
00.782,2.301058057,,,
00.784,2.208060262,,,
00.786,2.215810078,,,
00.788,2.370806404,,,
00.790,2.463804199,,,
00.792,2.572301627,,,
00.794,2.626550341,,,
00.796,2.611050708,,,
00.798,2.572301627,,,
00.800,2.456054383,,,
00.802,2.293308241,,,
00.804,2.270058792,,,
00.806,2.308807874,,,
00.808,2.332057323,,,
00.810,2.425055118,,,
00.812,2.572301627,,,
00.814,2.603300892,,,
00.816,2.549052178,,,
00.818,2.525802729,,,
00.820,2.355306771,,,
00.822,2.169311181,,,
00.824,2.115062467,,,
00.826,2.153811548,,,
00.828,2.200310446,,,
00.830,2.293308241,,,
00.832,2.386306036,,,
00.834,2.44055475,,,
00.836,2.394055853,,,
00.838,2.293308241,,,
00.840,2.138311916,,,
00.842,2.022064672,,,
00.844,1.952316325,,,
00.846,1.967815958,,,
00.848,2.029814488,,,
00.850,2.130562099,,,
00.852,2.246809344,,,
00.854,2.25455916,,,
00.856,2.215810078,,,
00.858,2.153811548,,,
00.860,2.022064672,,,
00.862,1.851568714,,,
00.864,1.789570183,,,
00.866,1.812819632,,,
00.868,1.936816693,,,
00.870,2.076313385,,,
00.872,2.177060997,,,
00.874,2.208060262,,,
00.876,2.200310446,,,
00.878,2.068563569,,,
00.880,1.874818162,,,
00.882,1.820569448,,,
00.884,1.898067611,,,
00.886,1.851568714,,,
00.888,1.913567244,,,
00.890,2.060813753,,,
00.892,2.130562099,,,
00.894,2.122812283,,,
00.896,2.053063937,,,
00.898,2.068563569,,,
00.900,1.960066141,,,
00.902,1.758570918,,,
00.904,1.735321469,,,
00.906,1.812819632,,,
00.908,1.874818162,,,
00.910,2.053063937,,,
00.912,2.161561364,,,
00.914,2.177060997,,,
00.916,2.153811548,,,
00.918,2.006565039,,,
00.920,1.867068346,,,
00.922,1.743071286,,,
00.924,1.774070551,,,
00.926,1.79732,,,
00.928,1.905817427,,,
00.930,2.060813753,,,
00.932,2.122812283,,,
00.934,2.076313385,,,
00.936,2.107312651,,,
00.938,2.037564304,,,
00.940,1.812819632,,,
00.942,1.750821102,,,
00.944,1.743071286,,,
00.946,1.766320735,,,
00.948,1.890317795,,,
00.950,2.068563569,,,
00.952,2.122812283,,,
00.954,2.122812283,,,
00.956,2.04531412,,,
00.958,1.975565774,,,
00.960,1.882567979,,,
00.962,1.774070551,,,
00.964,1.665573123,,,
00.966,1.727571653,,,
00.968,1.929066876,,,
00.970,2.053063937,,,
00.972,2.138311916,,,
00.974,2.138311916,,,
00.976,2.014314855,,,
00.978,1.960066141,,,
00.980,1.781820367,,,
00.982,1.665573123,,,
00.984,1.681072755,,,
00.986,1.750821102,,,
00.988,1.828319265,,,
00.990,2.037564304,,,
00.992,2.099562834,,,
00.994,2.084063202,,,
00.996,1.998815223,,,
00.998,1.905817427,,,
01.000,1.719821837,,,
01.002,1.727571653,,,
01.004,1.65007349,,,
01.006,1.719821837,,,
01.008,1.805069816,,,
01.010,1.975565774,,,
01.012,2.107312651,,,
01.014,2.084063202,,,
01.016,1.98331559,,,
01.018,1.867068346,,,
01.020,1.712072021,,,
01.022,1.642323674,,,
01.024,1.657823307,,,
01.026,1.766320735,,,
01.028,1.85931853,,,
01.030,2.022064672,,,
01.032,2.068563569,,,
01.034,2.029814488,,,
01.036,1.998815223,,,
01.038,1.851568714,,,
01.040,1.719821837,,,
01.042,1.634573858,,,
01.044,1.65007349,,,
01.046,1.712072021,,,
01.048,1.828319265,,,
01.050,1.98331559,,,
01.052,2.060813753,,,
01.054,1.952316325,,,
01.056,1.828319265,,,
01.058,1.913567244,,,
01.060,1.805069816,,,
01.062,1.665573123,,,
01.064,1.665573123,,,
01.066,1.750821102,,,
01.068,1.843818897,,,
01.070,1.998815223,,,
01.072,2.060813753,,,
01.074,1.967815958,,,
01.076,1.92131706,,,
01.078,1.781820367,,,
01.080,1.696572388,,,
01.082,1.657823307,,,
01.084,1.634573858,,,
01.086,1.696572388,,,
01.088,1.812819632,,,
01.090,1.929066876,,,
01.092,1.991065406,,,
01.094,1.998815223,,,
01.096,1.882567979,,,
01.098,1.774070551,,,
01.100,1.681072755,,,
01.102,1.642323674,,,
01.104,1.657823307,,,
01.106,1.696572388,,,
01.108,1.836069081,,,
01.110,2.014314855,,,
01.112,2.006565039,,,
01.114,1.913567244,,,
01.116,1.874818162,,,
01.118,1.719821837,,,
01.120,1.611324409,,,
01.122,1.572575328,,,
01.124,1.681072755,,,
01.126,1.704322204,,,
01.128,1.812819632,,,
01.130,1.967815958,,,
01.132,2.037564304,,,
01.134,1.967815958,,,
01.136,1.890317795,,,
01.138,1.766320735,,,
01.140,1.626824042,,,
01.142,1.634573858,,,
01.144,1.642323674,,,
01.146,1.642323674,,,
01.148,1.898067611,,,
01.150,1.944566509,,,
01.152,1.929066876,,,
01.154,1.944566509,,,
01.156,1.890317795,,,
01.158,1.727571653,,,
01.160,1.595824776,,,
01.162,1.696572388,,,
01.164,1.681072755,,,
01.166,1.688822572,,,
01.168,1.836069081,,,
01.170,1.960066141,,,
01.172,2.014314855,,,
01.174,1.952316325,,,
01.176,1.913567244,,,
01.178,1.735321469,,,
01.180,1.549325879,,,
01.182,1.557075695,,,
01.184,1.611324409,,,
01.186,1.665573123,,,
01.188,1.882567979,,,
01.190,1.936816693,,,
01.192,1.952316325,,,
01.194,1.98331559,,,
01.196,1.828319265,,,
01.198,1.681072755,,,
01.200,1.564825511,,,
01.202,1.626824042,,,
01.204,1.65007349,,,
01.206,1.712072021,,,
01.208,1.836069081,,,
01.210,1.967815958,,,
01.212,1.960066141,,,
01.214,1.936816693,,,
01.216,1.851568714,,,
01.218,1.704322204,,,
01.220,1.595824776,,,
01.222,1.557075695,,,
01.224,1.688822572,,,
01.226,1.704322204,,,
01.228,1.843818897,,,
01.230,1.998815223,,,
01.232,1.967815958,,,
01.234,1.867068346,,,
01.236,1.828319265,,,
01.238,1.719821837,,,
01.240,1.58807496,,,
01.242,1.619074225,,,
01.244,1.626824042,,,
01.246,1.712072021,,,
01.248,1.867068346,,,
01.250,2.006565039,,,
01.252,2.006565039,,,
01.254,1.898067611,,,
01.256,1.789570183,,,
01.258,1.665573123,,,
01.260,1.634573858,,,
01.262,1.611324409,,,
01.264,1.642323674,,,
01.266,1.696572388,,,
01.268,1.890317795,,,
01.270,1.991065406,,,
01.272,1.998815223,,,
01.274,1.905817427,,,
01.276,1.781820367,,,
01.278,1.642323674,,,
01.280,1.580325144,,,
01.282,1.572575328,,,
01.284,1.626824042,,,
01.286,1.750821102,,,
01.288,1.929066876,,,
01.290,2.022064672,,,
01.292,1.929066876,,,
01.294,1.890317795,,,
01.296,1.820569448,,,
01.298,1.634573858,,,
01.300,1.634573858,,,
01.302,1.626824042,,,
01.304,1.704322204,,,
01.306,1.85931853,,,
01.308,1.944566509,,,
01.310,1.967815958,,,
01.312,1.98331559,,,
01.314,1.975565774,,,
01.316,1.913567244,,,
01.318,1.727571653,,,
01.320,1.65007349,,,
01.322,1.626824042,,,
01.324,1.750821102,,,
01.326,1.952316325,,,
01.328,2.060813753,,,
01.330,2.115062467,,,
01.332,2.053063937,,,
01.334,1.936816693,,,
01.336,1.843818897,,,
01.338,1.719821837,,,
01.340,1.619074225,,,
01.342,1.673322939,,,
01.344,1.805069816,,,
01.346,1.898067611,,,
01.348,2.04531412,,,
01.350,2.130562099,,,
01.352,1.998815223,,,
01.354,1.991065406,,,
01.356,1.890317795,,,
01.358,1.719821837,,,
01.360,1.611324409,,,
01.362,1.657823307,,,
01.364,1.681072755,,,
01.366,1.805069816,,,
01.368,2.014314855,,,
01.370,2.022064672,,,
01.372,1.991065406,,,
01.374,1.874818162,,,
01.376,1.750821102,,,
01.378,1.619074225,,,
01.380,1.557075695,,,
01.382,1.549325879,,,
01.384,1.619074225,,,
01.386,1.766320735,,,
01.388,1.944566509,,,
01.390,1.967815958,,,
01.392,1.929066876,,,
01.394,1.85931853,,,
01.396,1.735321469,,,
01.398,1.611324409,,,
01.400,1.541576063,,,
01.402,1.533826246,,,
01.404,1.657823307,,,
01.406,1.781820367,,,
01.408,1.936816693,,,
01.410,1.98331559,,,
01.412,1.929066876,,,
01.414,1.890317795,,,
01.416,1.688822572,,,
01.418,1.557075695,,,
01.420,1.52607643,,,
01.422,1.58807496,,,
01.424,1.665573123,,,
01.426,1.843818897,,,
01.428,1.936816693,,,
01.430,1.944566509,,,
01.432,1.874818162,,,
01.434,1.766320735,,,
01.436,1.712072021,,,
01.438,1.626824042,,,
01.440,1.541576063,,,
01.442,1.611324409,,,
01.444,1.673322939,,,
01.446,1.805069816,,,
01.448,1.952316325,,,
01.450,1.936816693,,,
01.452,1.874818162,,,
01.454,1.843818897,,,
01.456,1.681072755,,,
01.458,1.58807496,,,
01.460,1.58807496,,,
01.462,1.766320735,,,
01.464,1.898067611,,,
01.466,2.084063202,,,
01.468,2.215810078,,,
01.470,2.409555485,,,
01.472,2.401805669,,,
01.474,2.518052913,,,
01.476,2.518052913,,,
01.478,2.432804934,,,
01.480,2.425055118,,,
01.482,2.363056588,,,
01.484,2.332057323,,,
01.486,2.363056588,,,
01.488,2.37855622,,,
01.490,2.239059527,,,
01.492,2.04531412,,,
01.494,1.843818897,,,
01.496,1.595824776,,,
01.498,1.386579737,,,
01.500,1.301331758,,,
01.502,1.270332493,,,
01.504,1.309081574,,,
01.506,1.549325879,,,
01.508,1.65007349,,,
01.510,1.681072755,,,
01.512,1.626824042,,,
01.514,1.564825511,,,
01.516,1.409829186,,,
01.518,1.386579737,,,
01.520,1.417579002,,,
01.522,1.510576797,,,
01.524,1.65007349,,,
01.526,1.836069081,,,
01.528,1.944566509,,,
01.530,1.952316325,,,
01.532,1.874818162,,,
01.534,1.820569448,,,
01.536,1.665573123,,,
01.538,1.580325144,,,
01.540,1.549325879,,,
01.542,1.665573123,,,
01.544,1.712072021,,,
01.546,1.882567979,,,
01.548,1.998815223,,,
01.550,1.967815958,,,
01.552,1.828319265,,,
01.554,1.727571653,,,
01.556,1.673322939,,,
01.558,1.595824776,,,
01.560,1.634573858,,,
01.562,1.696572388,,,
01.564,1.750821102,,,
01.566,1.890317795,,,
01.568,2.060813753,,,
01.570,1.98331559,,,
01.572,1.92131706,,,
01.574,1.79732,,,
01.576,1.673322939,,,
01.578,1.603574593,,,
01.580,1.665573123,,,
01.582,1.696572388,,,
01.584,1.727571653,,,
01.586,1.882567979,,,
01.588,1.98331559,,,
01.590,2.037564304,,,
01.592,1.92131706,,,
01.594,1.836069081,,,
01.596,1.665573123,,,
01.598,1.572575328,,,
01.600,1.611324409,,,
01.602,1.735321469,,,
