Time (s),Signal (V),Peak Time (s) ,Sample #,Type
00.804,2.437413321,,,
00.806,2.437413321,,,
00.808,2.195574191,,,
00.810,2.135114408,,,
00.812,2.150229354,,,
00.814,2.210689136,,,
00.816,2.286263864,,,
00.818,2.437413321,,,
00.820,2.467643212,,,
00.822,2.437413321,,,
00.824,2.422298375,,,
00.826,2.376953538,,,
00.828,2.225804082,,,
00.830,2.119999463,,,
00.832,2.1653443,,,
00.834,2.150229354,,,
00.836,2.195574191,,,
00.838,2.376953538,,,
00.840,2.407183429,,,
00.842,2.452528266,,,
00.844,2.422298375,,,
00.846,2.30137881,,,
00.848,2.180459245,,,
00.850,2.05953968,,,
00.852,2.044424735,,,
00.854,2.240919028,,,
00.856,2.240919028,,,
00.858,2.376953538,,,
00.860,2.437413321,,,
00.862,2.482758158,,,
00.864,2.422298375,,,
00.866,2.256033973,,,
00.868,2.135114408,,,
00.870,2.150229354,,,
00.872,2.119999463,,,
00.874,2.195574191,,,
00.876,2.286263864,,,
00.878,2.467643212,,,
00.880,2.497873103,,,
00.882,2.467643212,,,
00.884,2.30137881,,,
00.886,2.240919028,,,
00.888,2.180459245,,,
00.890,2.195574191,,,
00.892,2.074654626,,,
00.894,2.089769571,,,
00.896,2.225804082,,,
00.898,2.407183429,,,
00.900,2.437413321,,,
00.902,2.482758158,,,
00.904,2.392068484,,,
00.906,2.210689136,,,
00.908,2.029309789,,,
00.910,2.074654626,,,
00.912,2.135114408,,,
00.914,2.135114408,,,
00.916,2.180459245,,,
00.918,2.392068484,,,
00.920,2.467643212,,,
00.922,2.376953538,,,
00.924,2.331608701,,,
00.926,2.30137881,,,
00.928,2.256033973,,,
00.930,2.074654626,,,
00.932,2.044424735,,,
00.934,2.150229354,,,
00.936,2.256033973,,,
00.938,2.392068484,,,
00.940,2.422298375,,,
00.942,2.271148919,,,
00.944,2.316493756,,,
00.946,2.210689136,,,
00.948,2.119999463,,,
00.950,2.074654626,,,
00.952,2.135114408,,,
00.954,2.135114408,,,
00.956,2.331608701,,,
00.958,2.135114408,,,
00.960,2.392068484,,,
00.962,2.467643212,,,
00.964,2.376953538,,,
00.966,2.195574191,,,
00.968,2.104884517,,,
00.970,2.074654626,,,
00.972,2.135114408,,,
00.974,2.1653443,,,
00.976,2.286263864,,,
