Time (s),Signal (V),Peak Time (s) ,Sample #,Type
1.112,2.736368421,,,
1.114,2.849131789,,,
1.116,2.865240842,,,
1.118,2.736368421,,,
1.120,2.575277895,,,
1.122,2.269205895,,,
1.124,2.059788211,,,
1.126,2.011461053,,,
1.128,2.108115368,,,
1.130,2.253096842,,,
1.132,2.688041263,,,
1.134,2.800804632,,,
1.136,2.800804632,,,
1.138,2.655823158,,,
1.140,2.543059789,,,
1.142,2.124224421,,,
1.144,1.882588632,,,
1.146,1.963133895,,,
1.148,2.092006316,,,
1.150,2.253096842,,,
1.152,2.655823158,,,
1.154,2.720259368,,,
1.156,2.768586526,,,
1.158,2.655823158,,,
1.160,2.462514526,,,
1.162,2.108115368,,,
1.164,1.947024842,,,
1.166,1.898697684,,,
1.168,2.043679158,,,
1.170,2.301424,,,
1.172,2.591386947,,,
1.174,2.784695579,,,
1.176,2.784695579,,,
1.178,2.639714105,,,
1.180,2.462514526,,,
1.182,2.124224421,,,
1.184,1.947024842,,,
1.186,1.930915789,,,
1.188,2.075897263,,,
1.190,2.285314947,,,
1.192,2.591386947,,,
1.194,2.704150316,,,
1.196,2.639714105,,,
1.198,2.510841684,,,
1.200,2.269205895,,,
1.202,2.011461053,,,
1.204,1.963133895,,,
1.206,2.156442526,,,
1.208,2.543059789,,,
1.210,3.058549474,,,
1.212,3.557930105,,,
1.214,3.944547368,,,
1.216,4.153965053,,,
1.218,4.363382737,,,
1.220,4.105637895,,,
1.222,3.686802526,,,
1.224,3.380730526,,,
1.226,2.929677053,,,
1.228,2.929677053,,,
1.230,3.155203789,,,
1.232,3.21964,,,
1.234,3.106876632,,,
1.236,2.688041263,,,
1.238,2.156442526,,,
1.240,1.737607158,,,
1.242,1.544298526,,,
1.244,1.415426105,,,
1.246,1.495971368,,,
1.248,1.673170947,,,
1.250,1.947024842,,,
1.252,2.188660632,,,
1.254,2.381969263,,,
1.256,2.398078316,,,
1.258,2.285314947,,,
1.260,2.108115368,,,
1.262,1.947024842,,,
1.264,1.866479579,,,
1.266,1.947024842,,,
1.268,2.140333474,,,
1.270,2.510841684,,,
1.272,2.720259368,,,
1.274,2.736368421,,,
1.276,2.768586526,,,
1.278,2.623605053,,,
1.280,2.333642105,,,
1.282,2.156442526,,,
1.284,2.043679158,,,
1.286,2.092006316,,,
1.288,2.285314947,,,
1.290,2.607496,,,
1.292,2.784695579,,,
1.294,2.897458947,,,
1.296,2.881349895,,,
1.298,2.688041263,,,
1.300,2.349751158,,,
1.302,2.140333474,,,
1.304,2.059788211,,,
1.306,2.092006316,,,
1.308,2.317533053,,,
1.310,2.671932211,,,
1.312,2.849131789,,,
1.314,2.994113263,,,
1.316,2.881349895,,,
1.318,2.704150316,,,
1.320,2.414187368,,,
1.322,2.236987789,,,
1.324,2.059788211,,,
1.326,2.188660632,,,
1.328,2.349751158,,,
1.330,2.704150316,,,
1.332,2.961895158,,,
1.334,3.010222316,,,
1.336,2.865240842,,,
1.338,2.800804632,,,
1.340,2.494732632,,,
1.342,2.236987789,,,
1.344,2.172551579,,,
1.346,2.204769684,,,
1.348,2.398078316,,,
1.350,2.784695579,,,
1.352,2.945786105,,,
1.354,3.106876632,,,
1.356,2.994113263,,,
1.358,2.800804632,,,
1.360,2.478623579,,,
1.362,2.269205895,,,
1.364,2.253096842,,,
1.366,2.349751158,,,
1.368,2.462514526,,,
1.370,2.833022737,,,
1.372,3.058549474,,,
1.374,3.074658526,,,
1.376,3.026331368,,,
1.378,2.833022737,,,
1.380,2.559168842,,,
1.382,2.317533053,,,
1.384,2.285314947,,,
1.386,2.365860211,,,
1.388,2.591386947,,,
1.390,2.897458947,,,
1.392,3.155203789,,,
1.394,3.203530947,,,
1.396,3.139094737,,,
1.398,2.978004211,,,
1.400,2.607496,,,
1.402,2.381969263,,,
1.404,2.365860211,,,
1.406,2.446405474,,,
1.408,2.688041263,,,
1.410,3.074658526,,,
1.412,3.251858105,,,
1.414,3.364621474,,,
1.416,3.171312842,,,
1.418,3.042440421,,,
1.420,2.768586526,,,
1.422,2.623605053,,,
1.424,2.559168842,,,
1.426,2.639714105,,,
1.428,2.881349895,,,
1.430,3.21964,,,
1.432,3.429057684,,,
1.434,3.509602947,,,
1.436,3.396839579,,,
1.438,3.21964,,,
1.440,2.897458947,,,
1.442,2.736368421,,,
1.444,2.720259368,,,
1.446,2.849131789,,,
1.448,3.074658526,,,
1.450,3.429057684,,,
1.452,3.557930105,,,
1.454,3.638475368,,,
1.456,3.557930105,,,
1.458,3.300185263,,,
1.460,2.929677053,,,
1.462,2.816913684,,,
1.464,2.800804632,,,
1.466,2.945786105,,,
1.468,3.171312842,,,
1.470,3.429057684,,,
1.472,3.670693474,,,
1.474,3.670693474,,,
1.476,3.574039158,,,
1.478,3.364621474,,,
1.480,3.026331368,,,
1.482,2.768586526,,,
1.484,2.736368421,,,
1.486,2.913568,,,
1.488,3.090767579,,,
1.490,3.445166737,,,
1.492,3.574039158,,,
1.494,3.541821053,,,
1.496,3.332403368,,,
